epoch,Batch_size,lr,runtime,loss,F_measure_k
0,40,0.001,0:28:27,0.6997478604316711,0.6676914891489076
1,40,0.002,0:40:35,0.7050517201423645,0.6583184784601094
2,40,0.003,0:37:43,0.7002259492874146,0.6628861840408564
